4613 2
1702 0.27824402 -0.19658247
800 -0.09945037 0.08799744
245 0.07939807 0.021519875
57 -0.008813065 0.042974353
112 -0.06517626 0.19737023
60 -0.17839119 0.094512835
874 -0.08462109 -0.017611818
519 0.11055425 -0.06006989
1537 0.077138945 -0.19320682
821 0.119093426 0.24753205
1171 -0.19078527 -0.06096225
1511 0.21681835 0.039513484
536 -0.03422391 -0.13083105
4929 -0.2555693 -0.21269457
1962 0.1560631 -0.20798235
730 -0.23427269 0.07169366
256 -0.106687784 -0.04502807
830 0.08379724 -0.09759211
349 0.10462824 -0.21616386
250 -0.10929143 -0.25011897
561 -0.103862874 0.17762254
1838 -0.12484237 0.080342755
737 0.20869355 0.008679464
451 -0.25439444 0.04602107
1371 0.22866109 -0.23536223
284 0.10156509 0.21548754
3724 0.27359873 0.23624855
496 0.07681461 -0.14998434
697 -0.12817438 -0.1835454
1336 0.15154004 -0.18075076
503 0.24928112 -0.2755614
15 0.17476699 0.19714676
1033 0.25787127 -0.28836957
46 -0.047478728 0.032318976
523 0.0019729682 0.005335982
189 0.13647616 0.1503092
776 -0.043961603 -0.22043526
318 -0.24135171 -0.121935695
1886 0.26943645 0.20236295
605 -0.18958503 0.09048419
1639 -0.2343997 -0.20269237
578 0.040775005 0.25268027
491 -0.07440532 0.1204779
881 -0.15351832 0.23167689
1656 0.019009808 -0.26012954
1433 0.18114293 -0.0010337274
261 -0.24824558 -0.20060492
2324 0.0822121 -0.2928525
6877 0.29419205 0.20987077
1248 -0.083466806 -0.1224814
1634 0.07309303 0.05861378
1263 -0.22779268 0.11941061
3169 0.21221381 0.19285074
1031 -0.18748562 0.012922878
1904 0.18522523 -0.11452147
560 0.11441926 0.01175863
233 -0.16533892 0.06154947
3052 -0.17305107 0.09498629
1588 0.25844285 0.17423551
168 0.08344207 -0.16526394
266 -0.0057286345 -0.06550359
895 0.015447048 0.038649388
1573 0.02137721 -0.17766273
1 -0.005932488 -0.23138408
158 -0.06878044 0.12628646
463 -0.21383719 0.083050795
18 -0.02604699 0.1621652
2157 -0.07930888 -0.148346
1048 -0.1133301 -0.016483305
4557 -0.027036916 -0.23419692
835 -0.08080842 0.02022225
931 0.068383105 -0.117936954
505 0.12530695 0.05641979
803 -0.21866426 -0.26292956
1524 0.20632125 -0.24907888
1874 0.15077889 0.1736242
527 0.26698405 -0.17142081
135 0.05026384 -0.2640998
372 -0.019868018 -0.08971869
437 -0.17443787 -0.18740262
439 -0.037925594 0.19512147
661 0.12402004 -0.115040265
1018 0.074337855 0.18666573
1607 -0.2286651 0.09680884
1418 -0.23795131 -0.20087379
1213 0.14465848 0.056388482
655 0.0711412 0.17943868
1025 -0.25652045 0.046326485
4997 0.08911967 0.043388393
4418 -0.09410147 0.19520536
89 -0.1841953 -0.12735777
805 0.24449536 0.21625131
1657 -0.19095357 0.24980795
450 0.07891749 -0.14298657
1124 -0.25894937 0.2273293
326 -0.012329663 -0.048088014
2548 -0.021398919 -0.22436227
601 -0.18922858 0.0676929
31 -0.16754405 0.12763575
953 0.18349235 -0.27995783
1327 0.10042473 -0.25664508
152 0.07565007 0.08231744
2423 -0.026897576 -0.2855647
218 -0.21374139 0.13146667
862 0.07931098 0.12768064
2621 0.25920552 -0.2180656
867 0.20503032 -0.2577539
1114 -0.25012982 0.100098744
1829 -0.10419485 -0.23863922
671 0.09897813 0.16462323
852 -0.12707125 -0.22749929
